Datetime,Close,Volume,variacao,variacao_acumulada,Ticker,day
2000-01-03,0.9994419813156128,535796800,,,AAPL,3
2000-01-04,0.9151790142059326,512377600,-8.431,-8.431,AAPL,4
2000-01-05,0.9285709857940674,778321600,1.4633,-7.0911,AAPL,5
2000-01-06,0.8482139706611633,767972800,-8.6538,-15.1312,AAPL,6
2000-01-07,0.888392984867096,460734400,4.7369,-11.1111,AAPL,7
2000-01-10,0.872767984867096,505064000,-1.7588,-12.6745,AAPL,10
2000-01-11,0.828125,441548800,-5.1151,-17.1413,AAPL,11
2000-01-12,0.7784600257873535,976068800,-5.9973,-22.1105,AAPL,12
2000-01-13,0.8638389706611633,1032684800,10.9677,-13.5679,AAPL,13
2000-01-14,0.896763026714325,390376000,3.8114,-10.2736,AAPL,14
2000-01-18,0.928013026714325,459177600,3.4848,-7.1469,AAPL,18
2000-01-19,0.9514510035514832,597643200,2.5256,-4.8018,AAPL,19
2000-01-20,1.0133930444717407,1831132800,6.5103,1.3959,AAPL,20
2000-01-21,0.993861973285675,495924800,-1.9273,-0.5583,AAPL,21
2000-01-24,0.9486610293388367,440876800,-4.548,-5.0809,AAPL,24
2000-01-25,1.0022319555282593,497145600,5.647,0.2792,AAPL,25
2000-01-26,0.9838169813156128,367158400,-1.8374,-1.5634,AAPL,26
2000-01-27,0.982142984867096,340144000,-0.1702,-1.7309,AAPL,27
2000-01-28,0.9073659777641296,423348800,-7.6137,-9.2127,AAPL,28
2000-01-31,0.9263389706611633,701680000,2.091,-7.3144,AAPL,31
2000-02-01,0.8950889706611633,318035200,-3.3735,-10.4411,AAPL,1
2000-02-02,0.8822540044784546,464195200,-1.4339,-11.7253,AAPL,2
2000-02-03,0.9224330186843872,475193600,4.5541,-7.7052,AAPL,3
2000-02-04,0.9642860293388367,425320000,4.5372,-3.5176,AAPL,4
2000-02-07,1.0184149742126465,441067200,5.6134,1.8984,AAPL,7
2000-02-08,1.025670051574707,408643200,0.7124,2.6243,AAPL,8
2000-02-09,1.005579948425293,299364800,-1.9587,0.6141,AAPL,9
2000-02-10,1.0133930444717407,302982400,0.777,1.3959,AAPL,10
2000-02-11,0.970982015132904,212251200,-4.1851,-2.8476,AAPL,11
2000-02-14,1.0340399742126465,367539200,6.4942,3.4617,AAPL,14
2000-02-15,1.0625,485744000,2.7523,6.3093,AAPL,15
2000-02-16,1.0189729928970337,378246400,-4.0967,1.9542,AAPL,16
2000-02-17,1.025670051574707,289497600,0.6572,2.6243,AAPL,17
2000-02-18,0.9933040142059326,233441600,-3.1556,-0.6141,AAPL,18
2000-02-22,1.0161830186843872,422296000,2.3033,1.675,AAPL,22
2000-02-23,1.0379459857940674,473099200,2.1416,3.8526,AAPL,23
2000-02-24,1.0285990238189697,376432000,-0.9005,2.9173,AAPL,24
2000-02-25,0.9854909777641296,249144000,-4.1909,-1.3959,AAPL,25
2000-02-28,1.011160969734192,328328000,2.6048,1.1726,AAPL,28
2000-02-29,1.0234379768371582,368961600,1.2141,2.4009,AAPL,29
2000-03-01,1.1635040044784546,1077003200,13.6858,16.4154,AAPL,1
2000-03-02,1.089285969734192,311259200,-6.3788,8.9894,AAPL,2
2000-03-03,1.1428569555282593,323366400,4.918,14.3495,AAPL,3
2000-03-06,1.1222100257873535,210560000,-1.8066,12.2837,AAPL,6
2000-03-07,1.0970979928970337,273011200,-2.2377,9.7711,AAPL,7
2000-03-08,1.089285969734192,271230400,-0.7121,8.9894,AAPL,8
2000-03-09,1.0915180444717407,276718400,0.2049,9.2127,AAPL,9
2000-03-10,1.1227680444717407,248606400,2.863,12.3395,AAPL,10
2000-03-13,1.0831470489501953,303956800,-3.5289,8.3752,AAPL,13
2000-03-14,1.020089030265808,428579200,-5.8217,2.0659,AAPL,14
2000-03-15,1.0379459857940674,443609600,1.7505,3.8526,AAPL,15
2000-03-16,1.0853790044784546,378100800,4.5699,8.5985,AAPL,16
2000-03-17,1.1160709857940674,305043200,2.8278,11.6694,AAPL,17
2000-03-20,1.098214030265808,204489600,-1.6,9.8827,AAPL,20
2000-03-21,1.2047990560531616,524328000,9.7053,20.5472,AAPL,21
2000-03-22,1.2873879671096802,567996800,6.855,28.8107,AAPL,22
2000-03-23,1.261718988418579,562564800,-1.9939,26.2423,AAPL,23
2000-03-24,1.238281011581421,446913600,-1.8576,23.8972,AAPL,24
2000-03-27,1.246093988418579,279182400,0.631,24.679,AAPL,27
2000-03-28,1.2421879768371582,202966400,-0.3135,24.2882,AAPL,28
2000-03-29,1.2137279510498047,239836800,-2.2911,21.4406,AAPL,29
2000-03-30,1.1227680444717407,414400000,-7.4943,12.3395,AAPL,30
2000-03-31,1.2126120328903198,404633600,8.002,21.3289,AAPL,31
2000-04-03,1.1902899742126465,328563200,-1.8408,19.0955,AAPL,3
2000-04-04,1.136718988418579,660329600,-4.5007,13.7354,AAPL,4
2000-04-05,1.1640629768371582,457665600,2.4055,16.4713,AAPL,5
2000-04-06,1.1177459955215454,259627200,-3.9789,11.837,AAPL,6
2000-04-07,1.176339030265808,242435200,5.2421,17.6996,AAPL,7
2000-04-10,1.1160709857940674,212262400,-5.1234,11.6694,AAPL,10
2000-04-11,1.066406011581421,541822400,-4.45,6.7001,AAPL,11
2000-04-12,0.9754459857940674,941136000,-8.5296,-2.4009,AAPL,12
2000-04-13,1.0161830186843872,529827200,4.1762,1.675,AAPL,13
2000-04-14,0.9988840222358704,667620800,-1.7024,-0.0558,AAPL,14
2000-04-17,1.1060270071029663,409561600,10.7263,10.6645,AAPL,17
2000-04-18,1.1328129768371582,390924800,2.4218,13.3445,AAPL,18
2000-04-19,1.0814729928970337,520150400,-4.5321,8.2077,AAPL,19
2000-04-20,1.0613839626312256,722120000,-1.8576,6.1977,AAPL,20
2000-04-24,1.0758930444717407,443620800,1.367,7.6494,AAPL,24
2000-04-25,1.1456470489501953,391641600,6.4834,14.6287,AAPL,25
2000-04-26,1.0831470489501953,366912000,-5.4554,8.3752,AAPL,26
2000-04-27,1.1316959857940674,326603200,4.4822,13.2328,AAPL,27
2000-04-28,1.1077009439468384,249580800,-2.1203,10.8319,AAPL,28
2000-05-01,1.1099330186843872,226195200,0.2015,11.0553,AAPL,1
2000-05-02,1.052454948425293,236432000,-5.1785,5.3043,AAPL,2
2000-05-03,1.027343988418579,489798400,-2.3859,2.7918,AAPL,3
2000-05-04,0.9882810115814209,399515200,-3.8023,-1.1167,AAPL,4
2000-05-05,1.010045051574707,284076800,2.2022,1.0609,AAPL,5
2000-05-08,0.9832590222358704,184900800,-2.652,-1.6192,AAPL,8
2000-05-09,0.9414060115814209,327140800,-4.2566,-5.8068,AAPL,9
2000-05-10,0.8867189884185791,535091200,-5.8091,-11.2786,AAPL,10
2000-05-11,0.9179689884185791,499744000,3.5242,-8.1518,AAPL,11
2000-05-12,0.9609379768371582,306913600,4.6809,-3.8526,AAPL,12
2000-05-15,0.9017860293388367,678932800,-6.1556,-9.771,AAPL,15
2000-05-16,0.943638026714325,440451200,4.641,-5.5835,AAPL,16
2000-05-17,0.9051340222358704,398092800,-4.0804,-9.4361,AAPL,17
2000-05-18,0.8995540142059326,373777600,-0.6165,-9.9944,AAPL,18
2000-05-19,0.8392860293388367,740667200,-6.6998,-16.0245,AAPL,19
2000-05-22,0.803013026714325,755507200,-4.3219,-19.6539,AAPL,22
2000-05-23,0.7661830186843872,517585600,-4.5865,-23.3389,AAPL,23
2000-05-24,0.7829239964485168,678462400,2.185,-21.6639,AAPL,24
2000-05-25,0.7791569828987122,406750400,-0.4811,-22.0408,AAPL,25
2000-05-26,0.7712050080299377,181148800,-1.0206,-22.8364,AAPL,26
2000-05-30,0.7818080186843872,713059200,1.3749,-21.7755,AAPL,30
2000-05-31,0.75,433507200,-4.0685,-24.9581,AAPL,31
2000-06-01,0.7957590222358704,903840000,6.1012,-20.3797,AAPL,1
2000-06-02,0.8264510035514832,792848000,3.8569,-17.3088,AAPL,2
2000-06-05,0.8152899742126465,323668800,-1.3505,-18.4255,AAPL,5
2000-06-06,0.8292409777641296,525481600,1.7112,-17.0296,AAPL,6
2000-06-07,0.8621649742126465,337019200,3.9704,-13.7354,AAPL,7
2000-06-08,0.8465399742126465,238526400,-1.8123,-15.2987,AAPL,8
2000-06-09,0.8549110293388367,252358400,0.9889,-14.4612,AAPL,9
2000-06-12,0.8141739964485168,290337600,-4.7651,-18.5371,AAPL,12
2000-06-13,0.84375,351456000,3.6326,-15.5779,AAPL,13
2000-06-14,0.8074780106544495,277446400,-4.2989,-19.2071,AAPL,14
2000-06-15,0.8247770071029663,248572800,2.1423,-17.4762,AAPL,15
2000-06-16,0.8141739964485168,303564800,-1.2856,-18.5371,AAPL,16
2000-06-19,0.8627229928970337,394004800,5.963,-13.6795,AAPL,19
2000-06-20,0.904017984867096,501390400,4.7866,-9.5477,AAPL,20
2000-06-21,0.9933040142059326,490000000,9.8766,-0.6141,AAPL,21
2000-06-22,0.9598209857940674,467712000,-3.3709,-3.9643,AAPL,22
2000-06-23,0.9229909777641296,204965600,-3.8372,-7.6494,AAPL,23
2000-06-26,0.966517984867096,185354400,4.7159,-3.2942,AAPL,26
2000-06-27,0.924107015132904,203470400,-4.388,-7.5377,AAPL,27
2000-06-28,0.9720979928970337,286428800,5.1932,-2.7359,AAPL,28
2000-06-29,0.9151790142059326,203660800,-5.8553,-8.431,AAPL,29
2000-06-30,0.935267984867096,323097600,2.1951,-6.421,AAPL,30
2000-07-03,0.9520090222358704,70828800,1.79,-4.7459,AAPL,3
2000-07-05,0.921875,265216000,-3.1653,-7.761,AAPL,5
2000-07-06,0.9252229928970337,309545600,0.3632,-7.426,AAPL,6
2000-07-07,0.9720979928970337,263603200,5.0663,-2.7359,AAPL,7
2000-07-10,1.020089030265808,397796000,4.9369,2.0659,AAPL,10
2000-07-11,1.0167410373687744,357896000,-0.3282,1.7309,AAPL,11
2000-07-12,1.051339030265808,225433600,3.4028,5.1926,AAPL,12
2000-07-13,1.0089290142059326,445659200,-4.0339,0.9492,AAPL,13
2000-07-14,1.0301339626312256,190276800,2.1017,3.0709,AAPL,14
2000-07-17,1.041295051574707,260002400,1.0835,4.1876,AAPL,17
2000-07-18,1.0223209857940674,318404800,-1.8222,2.2892,AAPL,18
2000-07-19,0.9408479928970337,457872800,-7.9694,-5.8627,AAPL,19
2000-07-20,0.984375,465572800,4.6264,-1.5075,AAPL,20
2000-07-21,0.9564729928970337,196235200,-2.8345,-4.2993,AAPL,21
2000-07-24,0.8694199919700623,412171200,-9.1015,-13.0095,AAPL,24
2000-07-25,0.8939729928970337,211607200,2.8241,-10.5528,AAPL,25
2000-07-26,0.8939729928970337,210470400,0.0,-10.5528,AAPL,26
2000-07-27,0.9285709857940674,294985600,3.8701,-7.0911,AAPL,27
2000-07-28,0.8627229928970337,237893600,-7.0913,-13.6795,AAPL,28
2000-07-31,0.9073659777641296,155299200,5.1747,-9.2127,AAPL,31
2000-08-01,0.8805800080299377,137284000,-2.9521,-11.8928,AAPL,1
2000-08-02,0.84375,162355200,-4.1825,-15.5779,AAPL,2
2000-08-03,0.857142984867096,339897600,1.5873,-14.2378,AAPL,3
2000-08-04,0.845982015132904,263121600,-1.3021,-15.3546,AAPL,4
2000-08-07,0.8560270071029663,187348000,1.1874,-14.3495,AAPL,7
2000-08-08,0.8348209857940674,176674400,-2.4773,-16.4713,AAPL,8
2000-08-09,0.8482139706611633,379640800,1.6043,-15.1312,AAPL,9
2000-08-10,0.8493300080299377,251714400,0.1316,-15.0196,AAPL,10
2000-08-11,0.8515629768371582,238056000,0.2629,-14.7962,AAPL,11
2000-08-14,0.8404020071029663,156660000,-1.3106,-15.9129,AAPL,14
2000-08-15,0.8337050080299377,114200800,-0.7969,-16.583,AAPL,15
2000-08-16,0.8660709857940674,143673600,3.8822,-13.3445,AAPL,16
2000-08-17,0.9185270071029663,270900000,6.0568,-8.096,AAPL,17
2000-08-18,0.892857015132904,190176000,-2.7947,-10.6644,AAPL,18
2000-08-21,0.9017860293388367,134467200,1.0,-9.771,AAPL,21
2000-08-22,0.9229909777641296,276802400,2.3514,-7.6494,AAPL,22
2000-08-23,0.9698659777641296,236863200,5.0786,-2.9593,AAPL,23
2000-08-24,1.0019530057907104,310766400,3.3084,0.2512,AAPL,24
2000-08-25,1.0145089626312256,334460000,1.2531,1.5075,AAPL,25
2000-08-28,1.036829948425293,359004800,2.2002,3.7409,AAPL,28
2000-08-29,1.056920051574707,267030400,1.9376,5.751,AAPL,29
